Page Title,Section Titles to Display (comma separated),URL of image to display,"Question 1: Text, no need for image",Answer 1,Distractors 1 (comma separated),"Question 2: Text, no need for image",Answer 2,Distractors 2 (comma separated),"Question 3: Text, physical description",Answer 3 ,Distractors 3 (comma separated),"Question 4: Text, physical description",Answer 4,Distractors 4  (comma separated),Image question,Image answer url,Image distractor 1,Image distractor 2,Image distractor 3
El Panecillo,"Main, Statue",https://upload.wikimedia.org/wikipedia/commons/a/ad/Virgen_de_Quito_Panecillo_03.jpg,What religious order commissioned the building of the Virgin of El Panecillo?,Oblates,"Franciscans, Dominicans, Jesuits","According to Jesuit historian Juan de Velasco, what was located on top of El Panecillo before the arrival of the Spanish?",Temple,"Throne, Tomb, Oven",What aspect of the Virgin of El Panecillo is considered untraditional?,She has wings,"She is stepping on a snake, She is dancing, She is not seated",What is the Virgin of El Panecillo made of?,aluminium,"bronze, granite, cement",Which is the Virgen of El Panecillo?,https://upload.wikimedia.org/wikipedia/commons/0/01/Virgen_de_El_Panecillo%2C_Quito%2C_Ecuador%2C_2015-07-22%2C_DD_24.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c0/Monumento_Virgen_de_La_Paz_II.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/EDSAShrinejf0089_13.JPG,https://upload.wikimedia.org/wikipedia/commons/8/8e/Kosice_41.jpg
Qutb Minar,"Main, History, Architecture",https://upload.wikimedia.org/wikipedia/commons/c/c0/Qutb_Minar_2011.jpg,Who was the Qutb Minar named after?,Sufi saint Qutbuddin Bakhtiar Kaki,"founder of the Delhi Sultanate Qutb al-Din Aibak, founder of the Suri Empire Sher Shah Suri, Sultan of Delhi Firuz Shah Tughlaq",What is the only other brick minaret that is possibly older than the Qutb Minar?,Minaret of Jam,"Chand Minar, Fateh Burj, Kutlug Timur Minaret",What material are the bottom three storeys of columns made of?,sandstone,"marble, limestone, granite",What is unique about the decoration of the balconies of the Qutb Minar?,stalactite vaulting,"gargoyles, paintings of Garuda, arches",Which is the Qutb Minar?,https://upload.wikimedia.org/wikipedia/commons/2/20/Qutb_Minar_in_perspective.JPG,https://upload.wikimedia.org/wikipedia/commons/5/55/Hashtsal_Minar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Details_of_Jama_Masjid_minaret.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/4_Charminar.jpg
Al pastor,"Main, History, Preparation",https://upload.wikimedia.org/wikipedia/commons/3/3a/Tacos_al_pastor.jpg,What kind of meat do tacos al pastor typically contain?,pork,"beef, chicken, lamb",What Middle Eastern dish inspired the creation of tacos al pastor?,shawarma,"kofta, tabbouleh, falafel",What fruit is diced and served on top of the taco al pastor?,pineapple,"pear, mango, watermelon",What herb is finely chopped and served on top of the taco al pastor?,cilantro,"basil, parsley, mint",Which is tacos al pastor?,https://upload.wikimedia.org/wikipedia/commons/4/45/Olea3_%285545489299%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Tacos_at_Boardwalk_Bistro_on_Hastings%2C_Noosa_Heads.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Black_bean_corn_tacos_at_Down_The_Rabbit_Hole_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Pork_tacos_at_the_Rendezvous_%2826943375693%29.jpg
Hanok,"Main, History, Characteristics, Materials",https://upload.wikimedia.org/wikipedia/commons/9/95/%EC%88%9C%EC%B2%9C_%EC%86%A1%EA%B4%91%EC%82%AC_%ED%95%98%EC%82%AC%EB%8B%B9_01.jpg,What is the name of the floor-based heating system traditionally used in hanoks?,Ondol,"Giwa, Daecheong, Hanji",What shape would a hanok in the southern regions of Korea be? ,L-shape,"Square, Circle, Triangle",What kind of roofing do hanoks have?,tiles,"straw, wood, green (covered with plants) ",What kind of beams do hanoks use?,wood,"steel, concrete, stone",Which is an example of a hanok?,https://upload.wikimedia.org/wikipedia/commons/b/b6/Korea-Seoul-Bukchon-19.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Toro1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Du_Fu_Thatched_Cottage_Garden.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Hutong_1_%28Snowyowls%29.jpg
Jose Guadalupe Posada,"Main, Career as artist, Notable works",https://upload.wikimedia.org/wikipedia/commons/a/ac/Posada2.Catrina.jpeg,What type of printing did Jose Guadalupe Posada use for his art?,Relief printing,"Screen printing, Woodblock printing, 3D printing",What magazine did Posada continue to make satirical illustrations for during the Mexican Revolution?,El Jicote,"La Patria Ilustrada, La Gacetilla, el Pueblo Caótico",What is iconic about Posada's satirical portraits?,Depiction as skeletons/skulls ,"Extravagant clothing, Caricature features, Depiction as animals ","Who is Posada criticizing in his best known work, La Calavera Catrina? ",Mexican natives adopting European aristocratic traditions,"the government of Francisco Madero, European monarchs, the United States ",Which is a work by Jose Guadalupe Posada?,https://upload.wikimedia.org/wikipedia/commons/8/8f/Jos%C3%A9_Guadalupe_Posada%2C_Calavera_oaxaque%C3%B1a%2C_broadsheet%2C_1903.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/%27Bookplate%2C_Portrait%27_by_John_C._Poole%2C_woodblock_print.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2d/Nude_Seated--Front_View%2C_by_William_H._Johnson.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Tierra_y_Libertad.jpg
South China tiger,"Main, Characteristics, Ecology and behavior",https://upload.wikimedia.org/wikipedia/commons/8/81/2012_Suedchinesischer_Tiger.JPG,When was the last recorded sighting of a South China tiger in the wild?,1970s,"1950s, 1960s, 1980s",Which of the following is frequently prey for the South China tiger?,Wild boar,"Water buffalo, Goat, Moose","Compared to the Bengal Tiger, what does the South China tiger's coat look liket?",lighter and more yellow,"darker and more orange, the same, lighter and more brown",What do the South China tiger's stripes look like?,narrow and sharp-edged,"wide and pointed, short and dull (almost like spots), numerous with varying shapes",Which is the South China tiger?,https://upload.wikimedia.org/wikipedia/commons/d/d8/Panthera_tigris_amoyensis.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/P.t.altaica_female.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/White-tiger-2407799_1280.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Sumatran_Tiger_Berlin_Tierpark.jpg
Quonset hut,"Main, Design and history",https://upload.wikimedia.org/wikipedia/commons/5/57/Quonset_hut_emplacement_in_Japan.jpg,What war did the United States manufacture hundreds of thousands of Quonset huts for?,WWII,"Civil War, WWI, Cold War",Where were Quonset huts first manufactured?,Rhode Island,"New York, Massachusetts, Michigan",What shape is the cross-section on the front and back of the Quonset hut?,Semicircular,"Triangular, Rectangular, Circular",What are the walls of the Quonset hut made of?,corrugated steel,"plywood, concrete, aluminium",Which is a Quonset hut?,https://upload.wikimedia.org/wikipedia/commons/0/00/Nankin_Value_Battery_Quonset_hut_Westland_Michigan.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4a/Dymaxion_House_-_LOC_8c14945v.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Khutse_Kalahari_Lodge.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Portsmouth_Grammar_School_seen_from_the_High_Street.jpg
Boyoz,"Main, Origin",https://upload.wikimedia.org/wikipedia/commons/5/5d/Boyoz_g%C3%B6sterim.jpg,What Turkish city is Boyoz associated with?,Izmir,"Ankara, Istanbul, Bursa",What beverage is boyoz usually served with?,Dark tea,"Turkish coffee, Raki, Milk",What is the shape of boyoz?,Round,"Square, Rolled, Triangle",What is the most popular stuffing of boyoz?,None (plain),"Meat, cheese, spinach",Which is boyoz?,https://upload.wikimedia.org/wikipedia/commons/7/73/Boyoz_in_%C4%B0zmir.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Bridie.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Jiguang_pastry%2C_Matsu%2C_Taiwan.JPG,https://upload.wikimedia.org/wikipedia/commons/2/22/Pita_sa_jabukama_i_tankim_korama.jpg
Totem pole,"Main, Meaning and purpose",https://upload.wikimedia.org/wikipedia/commons/a/ac/Two_Brothers_totem_pole_Jasper.jpg,What type of trees are totem poles usually made from?,Western Red Cedar,"Coastal Redwood, Douglas Fir, Sitka Spruce",The linear representation of the figures on the totem pole places importance on the highest figure.,FALSE,TRUE,How tall can totem poles be?,60 ft / 18 m,"40 ft / 12 m, 80 ft / 24 f, 100 ft / 30 m",How are characters in stories such as family legends or notable events represented on the totem pole?,Animals,"Plants, Sun and Moon, Elements of nature",Which is a totem pole?,https://upload.wikimedia.org/wikipedia/commons/c/c0/Kakaso%27Las_totem_pole.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Statue_1_%2830602554046%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Chemamull_chile_precolumblian_museum.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c5/Face_of_a_Jangseung_outside_the_National_Folk_Museum_of_Korea.jpg
Leshan Giant Buddha,"Main, History, Composition",https://upload.wikimedia.org/wikipedia/commons/3/38/Leshan_Buddha_Statue_View.JPG,Why did Hai Tong decide to construct the Leshan Giant Buddha in its present location?,to calm the waters of the river,"to honor the emperor, to generate tourism, to protect the people of Leshan from storms and droughts",What is the only part of the Leshan Giant Buddha's body that is NOT made of stone?,ears,"feet, nose, eyes",What kind of cliff face is the Leshan Giant Buddha carved out of?,red sandstone,"white granite, green marble, gray limestone",Where does the Leshan Giant Buddha sit? ,At the confluence of two rivers,"Atop a mountain, At the bottom of a waterfall, In the desert",Which is the Leshan Giant Buddha?,https://upload.wikimedia.org/wikipedia/commons/9/9a/Leshan_Giant_Buddha%2C_20161101.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Buddha_of_Bamiyan.jpg,https://upload.wikimedia.org/wikipedia/commons/2/23/Rongxian_Dafo_2014.04.24_14-18-42.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Gal_Viharaya_02.jpg
Scottish Fold,"Main, Characteristics",https://upload.wikimedia.org/wikipedia/commons/3/32/Basil_body.jpg,All Scottish Folds are born with unfolded ears.,TRUE,FALSE,How soon after birth will the Fold gene show in a Scottish Fold kitten?,21 days,"1 day, 12 days, 30 days",What shape is the Scottish Fold's face?,Round,"Square, Triangle, Flat",How long are a Scottish Fold's legs?,medium-to-short,"very short, long, very long",Which is a Scottish Fold?,https://upload.wikimedia.org/wikipedia/commons/8/83/Lilac_Scottish_Fold.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Ukrainian_Levkoy_cat.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Cachorro_de_Gato_FoldEx_%28%22Belisario_del_Laberinto%22%29.JPG,https://upload.wikimedia.org/wikipedia/commons/0/02/Brown_Exotic_Shorthair_Kitten.jpg
Folsom point,"Main, Description, Age and cultual affiliations",https://upload.wikimedia.org/wikipedia/commons/6/6a/Folsom_point-Blackwater_Draw.jpg,"Where is Folsom Site, the place where the first sample of a Folsom point was found?",New Mexico,"Colorado, Arizona, California","What is the name of the earlier style of projectile found in 1932, which dated back to 11,500 BCE? ",Clovis point,"Plano point, Eden point, Great Plains point","What are the characteristic wide, shallow grooves along the Folsom point's edges called?",Fluting,"Hafting, Knapping, Grinding",What shape are Folsom points?,leaf-like,"triangular, spear-like, rounded",Which is a Folsom Point?,https://upload.wikimedia.org/wikipedia/commons/f/f8/Folsom_point.png,https://upload.wikimedia.org/wikipedia/commons/5/5f/Lorida%2C_FL_Thonotosassa_type.JPG,https://upload.wikimedia.org/wikipedia/commons/4/43/BareIslandProjPoint.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Hohokam_Arrowhead_Sahuarita_Arizona_2014.jpg
Stone spheres of Costa Rica,"Main, Description, Pre-Columbian history, Post-contact history, Cultural identity ",https://upload.wikimedia.org/wikipedia/commons/e/ed/Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1880.jpg,What culture are the Stone Spheres of Costa Rica generally attributed to?,Diquís,"Bribri, Cabecares, Boruca",Who discovered the Stone Spheres of Costa Rica in the 1930s?,United Fruit Company workers,"Samuel Kirkland Lothrop, Doris Stone, National Museum of Costa Rica ",What are most of the Stone Spheres of Costa Rica made of?,Gabbro,"Granite, Basalt, Peridotite",How big are the diameters of the Stone Spheres of Costa Rica?,A range of sizes,"A few centimeters, 2 meters / 6.6 ft, 4 meters / 13 ft",Which are Stone Spheres of Costa Rica?,https://upload.wikimedia.org/wikipedia/commons/f/f1/Alignment_Diquis_Stone_Spheres_Museo_Nacional_CRI_01_2020_1855.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Kelvingrove_Art_Gallery_and_MuseumDSCF0239_11.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1e/MoerakiBouldersSunrise.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Cabeza_Colosal_n%C2%BA1_del_Museo_Xalapa.jpg
Fluorite,"Main, History and etymology, Color",https://upload.wikimedia.org/wikipedia/commons/0/0d/3192M-fluorite1.jpg,What is an industrial use of fluorite?,Flux,"Flame retardent, Cement, Hardening alloy",Where is the largest deposit of fluorite?,South Africa,"Yemen, China, Brazil",,,,,,,Which is an example of fluorite?,https://upload.wikimedia.org/wikipedia/commons/0/0f/Fluorite_Le_Beix_MNHN_Min%C3%A9ralogie.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Halit_%28NaCl%29_-_Kopalnia_soli_Wieliczka%2C_Polska.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Atacamite-235102.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Bischofite_-_Antofagasta.JPG
Shingle Style Architecture,"Main, History, Characteristics",https://upload.wikimedia.org/wikipedia/commons/7/7c/Kragsyde.jpg,Where is Shingle style architecture in the United States most often found?,New England,"Midwest, Pacific Northwest, Southwest",The shingle style was a response to which architectural movement?,Eastlake style,"Modernist, Gothic, Colonial",What feature was common for shingle style houses?,Horizontal continuity,"Vertical continuity, ornamentation, columns",What is a famous example of the shingle style house?,Kragsyde,"Saint Peter's By-The-Sea, Carson Mansion, Vaile Mansion",Which is an example of the shingle style?,https://upload.wikimedia.org/wikipedia/commons/9/94/HorseshoePostcard.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/William_S._Clarke_House_2.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f2/Saint_Peter%27s-By-The-Sea_Episcopal_Church%2C_Cape_May_Point%2C_NJ.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Herman_C._Timm_House.jpg
Gujia,"Main, Similar Dishes",https://upload.wikimedia.org/wikipedia/commons/f/f5/Gujhia.JPG,Which country is Gujia from?,India,"Pakistan, Yemen, Lithuania",What is a common filling for Gujia?,Dried fruit,"Beef, mung bean, peas",What shape is a Gujia?,Half moon,"Circle, flower, pleated round",How is a gujia prepared?,Fried,"Baked, steamed, boiled",Which is an example of a Gujia?,https://upload.wikimedia.org/wikipedia/commons/3/3c/Gujia_dry.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b4/Fried_dumpling_%283337901416%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Xia_jian_jiao.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Deep_Fried_Cholent_Dumpling_%28F%C3%BClem%C3%BCle_Restaurant%29_%2841496749174%29.jpg
Erke,"Main, Construction, History",https://upload.wikimedia.org/wikipedia/commons/4/46/Erke_-_Noroeste_Argentino.jpg,Where are erkes used?,Bolivia,"Australia, Spain, Ethiopia ",When is the erke traditionally played?,Winter,"Summer, Spring, Fall",What is the exterior of the erke is wrapped in? ,wool,"bamboo fiber, sheep skin, cow hide ",How long can an erke be?,7 meters,"25 cm, 1 m, 10m",Which is an example of an erke?,https://upload.wikimedia.org/wikipedia/commons/7/76/Erke.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Didgeridoo_street_player-2.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Monks_during_Ongkor.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Tiba_Safiental.jpg
Detroit-style pizza,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/d/da/Detroit_Style_Pizza_from_Calphalon_Bread_Pans.png,When was the Detroit-style pizza developed?,1940s,"1920s, 1960s, 1980s",What type of cheese is used in Detroit-style pizza?,Wisconsin brick,"Mozarella, Cheddar, American",What is the traditional shape of a Detroit-style pizza?,Rectangle,"Round, Square, Free-form ",Where is the sauce placed in a Detroit-style pizza?,On-top of the cheese,"Under the cheese, As a bottom and top layer,",What is an example of a Detroit-style pizza?,https://upload.wikimedia.org/wikipedia/commons/5/54/Detroit_Style_Pizza_in_Lloyds_Detroit_Style_Pan_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/8/88/Aurelio%27s_Pizza_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Chicago-style_pizza.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Pizza_pan.jpg
