Page Title,Section Titles to Display (comma separated),URL of image to display,"Question 1: Text, no need for image",Answer 1,Distractors 1 (comma separated),"Question 2: Text, no need for image",Answer 2,Distractors 2 (comma separated),"Question 3: Text, physical description",Answer 3 ,Distractors 3 (comma separated),"Question 4: Text, physical description",Answer 4,Distractors 4  (comma separated),Image question,Image answer url,Image distractor 1,Image distractor 2,Image distractor 3
El Panecillo,"Main, Statue",https://upload.wikimedia.org/wikipedia/commons/a/ad/Virgen_de_Quito_Panecillo_03.jpg,What religious order commissioned the building of the Virgin of El Panecillo?,Oblates,"Franciscans, Dominicans, Jesuits","According to Jesuit historian Juan de Velasco, what was located on top of El Panecillo before the arrival of the Spanish?",Temple,"Throne, Tomb, Oven",What aspect of the Virgin of El Panecillo is considered untraditional?,She has wings,"She is stepping on a snake, She is dancing, She is not seated",What is the Virgin of El Panecillo made of?,aluminium,"bronze, granite, cement",Which is the Virgen of El Panecillo?,https://upload.wikimedia.org/wikipedia/commons/0/01/Virgen_de_El_Panecillo%2C_Quito%2C_Ecuador%2C_2015-07-22%2C_DD_24.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c0/Monumento_Virgen_de_La_Paz_II.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/EDSAShrinejf0089_13.JPG,https://upload.wikimedia.org/wikipedia/commons/8/8e/Kosice_41.jpg
Qutb Minar,"Main, History, Architecture",https://upload.wikimedia.org/wikipedia/commons/c/c0/Qutb_Minar_2011.jpg,Who was the Qutb Minar named after?,Sufi saint Qutbuddin Bakhtiar Kaki,"founder of the Delhi Sultanate Qutb al-Din Aibak, founder of the Suri Empire Sher Shah Suri, Sultan of Delhi Firuz Shah Tughlaq",What is the only other brick minaret that is possibly older than the Qutb Minar?,Minaret of Jam,"Chand Minar, Fateh Burj, Kutlug Timur Minaret",What material are the bottom three storeys of columns made of?,sandstone,"marble, limestone, granite",What is unique about the decoration of the balconies of the Qutb Minar?,stalactite vaulting,"gargoyles, paintings of Garuda, arches",Which is the Qutb Minar?,https://upload.wikimedia.org/wikipedia/commons/2/20/Qutb_Minar_in_perspective.JPG,https://upload.wikimedia.org/wikipedia/commons/5/55/Hashtsal_Minar_02.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Details_of_Jama_Masjid_minaret.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/4_Charminar.jpg
Al pastor,"Main, History, Preparation",https://upload.wikimedia.org/wikipedia/commons/3/3a/Tacos_al_pastor.jpg,What kind of meat do tacos al pastor typically contain?,pork,"beef, chicken, lamb",What Middle Eastern dish inspired the creation of tacos al pastor?,shawarma,"kofta, tabbouleh, falafel",What fruit is diced and served on top of the taco al pastor?,pineapple,"pear, mango, watermelon",What herb is finely chopped and served on top of the taco al pastor?,cilantro,"basil, parsley, mint",Which is tacos al pastor?,https://upload.wikimedia.org/wikipedia/commons/4/45/Olea3_%285545489299%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Tacos_at_Boardwalk_Bistro_on_Hastings%2C_Noosa_Heads.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Black_bean_corn_tacos_at_Down_The_Rabbit_Hole_2018.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Pork_tacos_at_the_Rendezvous_%2826943375693%29.jpg
Hanok,"Main, History, Characteristics, Materials",https://upload.wikimedia.org/wikipedia/commons/9/95/%EC%88%9C%EC%B2%9C_%EC%86%A1%EA%B4%91%EC%82%AC_%ED%95%98%EC%82%AC%EB%8B%B9_01.jpg,What is the name of the floor-based heating system traditionally used in hanoks?,Ondol,"Giwa, Daecheong, Hanji",What shape would a hanok in the southern regions of Korea be? ,L-shape,"Square, Circle, Triangle",What kind of roofing do hanoks have?,tiles,"straw, wood, green (covered with plants) ",What kind of beams do hanoks use?,wood,"steel, concrete, stone",Which is an example of a hanok?,https://upload.wikimedia.org/wikipedia/commons/b/b6/Korea-Seoul-Bukchon-19.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Toro1.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Du_Fu_Thatched_Cottage_Garden.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Hutong_1_%28Snowyowls%29.jpg
Fluorite,"Main, History and etymology, Color",https://upload.wikimedia.org/wikipedia/commons/0/0d/3192M-fluorite1.jpg,What is an industrial use of fluorite?,Flux,"Flame retardent, Cement, Hardening alloy",Where is the largest deposit of fluorite?,South Africa,"Yemen, China, Brazil",,,,,,,Which is an example of fluorite?,https://upload.wikimedia.org/wikipedia/commons/0/0f/Fluorite_Le_Beix_MNHN_Min%C3%A9ralogie.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Halit_%28NaCl%29_-_Kopalnia_soli_Wieliczka%2C_Polska.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Atacamite-235102.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Bischofite_-_Antofagasta.JPG
Shingle style architecture,"Main, History, Characteristics",https://upload.wikimedia.org/wikipedia/commons/7/7c/Kragsyde.jpg,Where is Shingle style architecture in the United States most often found?,New England,"Midwest, Pacific Northwest, Southwest",The shingle style was a response to which architectural movement?,Eastlake style,"Modernist, Gothic, Colonial",What feature was common for shingle style houses?,Horizontal continuity,"Vertical continuity, ornamentation, columns",What is a famous example of the shingle style house?,Kragsyde,"Saint Peter's By-The-Sea, Carson Mansion, Vaile Mansion",Which is an example of the shingle style?,https://upload.wikimedia.org/wikipedia/commons/9/94/HorseshoePostcard.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/William_S._Clarke_House_2.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f2/Saint_Peter%27s-By-The-Sea_Episcopal_Church%2C_Cape_May_Point%2C_NJ.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Herman_C._Timm_House.jpg
Gujia,"Main, Food",https://upload.wikimedia.org/wikipedia/commons/f/f5/Gujhia.JPG,Which country is Gujia from?,India,"Pakistan, Yemen, Lithuania",What is a common filling for Gujia?,Dried fruit,"Beef, mung bean, peas",What shape is a Gujia?,Half moon,"Circle, flower, pleated round",How is a gujia prepared?,Fried,"Baked, steamed, boiled",Which is an example of a Gujia?,https://upload.wikimedia.org/wikipedia/commons/3/3c/Gujia_dry.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b4/Fried_dumpling_%283337901416%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Xia_jian_jiao.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Deep_Fried_Cholent_Dumpling_%28F%C3%BClem%C3%BCle_Restaurant%29_%2841496749174%29.jpg
Erke,"Main, Construction, History",https://upload.wikimedia.org/wikipedia/commons/4/46/Erke_-_Noroeste_Argentino.jpg,Where are erkes used?,Bolivia,"Australia, Spain, Ethiopia ",When is the erke traditionally played?,Winter,"Summer, Spring, Fall",What is the exterior of the erke is wrapped in? ,wool,"bamboo fiber, sheep skin, cow hide ",How long can an erke be?,7 meters,"25 cm, 1 m, 10m",Which is an example of an erke?,https://upload.wikimedia.org/wikipedia/commons/7/76/Erke.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Didgeridoo_street_player-2.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Monks_during_Ongkor.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Tiba_Safiental.jpg
Detroit-style pizza,"Main, History",https://upload.wikimedia.org/wikipedia/commons/d/da/Detroit_Style_Pizza_from_Calphalon_Bread_Pans.png,When was the Detroit-style pizza developed?,1940s,"1920s, 1960s, 1980s",What type of cheese is used in Detroit-style pizza?,Wisconsin brick,"Mozarella, Cheddar, American",What is the traditional shape of a Detroit-style pizza?,Rectangle,"Round, Square, Free-form ",Where is the sauce placed in a Detroit-style pizza?,On-top of the cheese,"Under the cheese, As a bottom and top layer",What is an example of a Detroit-style pizza?,https://upload.wikimedia.org/wikipedia/commons/5/54/Detroit_Style_Pizza_in_Lloyds_Detroit_Style_Pan_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/8/88/Aurelio%27s_Pizza_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Chicago-style_pizza.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Pizza_pan.jpg
Bagna cauda,"Main, Overview",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg/250px-Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg,Which Italian region is Bagna Caoda from?,Piedmont,"Sicily, Sardinia, Apulia",What is generally bagna caoda served with?,Vegetables," Meat, Pasta, Fish",Which type of dish is Bagna Cauda?,Sauce,"Pie, Dessert, vegetable",Which Color is Bagna Cauda?,Beige,"Red, Green, Black",What is an example of Bagna Cauda?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bagna_c%C3%A0uda_%282016-01-30%29.jpg/230px-Bagna_c%C3%A0uda_%282016-01-30%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Swiss_fondue.jpg/250px-Swiss_fondue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Chocolatefondue.JPG/220px-Chocolatefondue.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Fondue2.jpg/220px-Fondue2.jpg
Eucomis,"Main, Distribution_and_habitat, Cultivation",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eucomis_autumnalis_2_cropped.jpg/220px-Eucomis_autumnalis_2_cropped.jpg,In which period does the eucomis flower? ,Spring,"Winter,Summer,Fall",Does Eucomis grow in dry regions?,No,Yes,The eucomis has foliage on top which makes it resemble a pineapple,TRUE,FALSE,What is the shape of eucomis flowers,Star,"Funnel,Tube,Bowl",Which of these is an Eucomis?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Eucomis_bicolor_01.jpg/202px-Eucomis_bicolor_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg/220px-Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg/220px-%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Ornithogalum_narbonense.jpg
